Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #8904
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0000
Water Temp (deg C),22.00
Room Temp (deg C),25.15
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.014
=====,=====
Time (s), Temperature (C)
0.00,22.00
60.00,22.00
120.00,22.00
180.00,22.01
240.00,22.02
300.00,22.02
315.00,22.03
330.00,22.15
345.00,22.33
360.00,22.53
375.00,22.70
390.00,22.86
405.00,22.98
420.00,23.08
435.00,23.16
450.00,23.22
465.00,23.27
480.00,23.31
540.00,23.39
600.00,23.42
660.00,23.42
720.00,23.42
780.00,23.42
840.00,23.43
900.00,23.43
960.00,23.43
1020.00,23.43
1080.00,23.44
